,cell_line,demuxlet_cls,properly_sampled_cell,clean_cell,full_cell_index,cells_rare_gene_module,rare_cell,seed,candidate,cell_deviant_votes,dissolved,metacell,outlier,pre_cell_directs,cell_directs,pre_pile,pile,pre_candidate,pre_cell_deviant_votes,pre_dissolved,pre_metacell
Lib90_00000,HCC827,SNG,True,True,0,-1,False,63,156,0,False,149,False,0,0,-1,0,-1,0,False,-1
Lib90_00002,H838,SNG,True,True,1,-1,False,140,158,0,False,151,False,0,0,-1,0,-1,0,False,-1
Lib90_00003,HCC827,SNG,True,True,2,-1,False,8,62,0,False,58,False,0,0,-1,0,-1,0,False,-1
Lib90_00004,HCC827,SNG,True,True,3,-1,False,8,5,0,False,4,False,0,0,-1,0,-1,0,False,-1
Lib90_00005,HCC827,SNG,True,True,4,-1,False,155,5,2,False,-1,True,0,0,-1,0,-1,0,False,-1
Lib90_00006,H1975,SNG,True,True,5,-1,False,137,107,7,False,-1,True,0,0,-1,0,-1,0,False,-1
Lib90_00007,H1975,SNG,True,True,6,-1,False,130,20,0,False,18,False,0,0,-1,0,-1,0,False,-1
Lib90_00008,HCC827,SNG,True,True,7,-1,False,79,77,0,False,73,False,0,0,-1,0,-1,0,False,-1
Lib90_00010,H838,SNG,True,True,8,-1,False,17,158,0,False,151,False,0,0,-1,0,-1,0,False,-1
Lib90_00011,H838,SNG,True,True,9,-1,False,9,147,0,False,140,False,0,0,-1,0,-1,0,False,-1
Lib90_00012,HCC827,SNG,True,True,10,-1,False,97,102,0,False,97,False,0,0,-1,0,-1,0,False,-1
Lib90_00013,HCC827,SNG,True,True,11,-1,False,81,139,1,False,-1,True,0,0,-1,0,-1,0,False,-1
Lib90_00014,HCC827,SNG,True,True,12,-1,False,-1,115,0,False,110,False,0,0,-1,0,-1,0,False,-1
Lib90_00015,HCC827,SNG,True,True,13,-1,False,37,5,0,False,4,False,0,0,-1,0,-1,0,False,-1
Lib90_00016,HCC827,SNG,True,True,14,-1,False,79,62,2,False,-1,True,0,0,-1,0,-1,0,False,-1
Lib90_00018,HCC827,SNG,True,True,15,-1,False,114,62,0,False,58,False,0,0,-1,0,-1,0,False,-1
Lib90_00019,HCC827,SNG,True,True,16,-1,False,93,64,0,False,60,False,0,0,-1,0,-1,0,False,-1
Lib90_00020,H838,SNG,True,True,17,-1,False,0,47,0,False,43,False,0,0,-1,0,-1,0,False,-1
Lib90_00021,HCC827,SNG,True,True,18,-1,False,37,32,0,False,28,False,0,0,-1,0,-1,0,False,-1
Lib90_00022,HCC827,SNG,True,True,19,-1,False,79,160,0,False,153,False,0,0,-1,0,-1,0,False,-1
Lib90_00025,HCC827,SNG,True,True,20,-1,False,72,32,0,False,28,False,0,0,-1,0,-1,0,False,-1
Lib90_00026,H1975,SNG,True,True,21,-1,False,13,142,0,False,135,False,0,0,-1,0,-1,0,False,-1
Lib90_00027,H1975,SNG,True,True,22,-1,False,13,142,2,False,-1,True,0,0,-1,0,-1,0,False,-1
Lib90_00028,HCC827,SNG,True,True,23,-1,False,75,138,0,False,131,False,0,0,-1,0,-1,0,False,-1
Lib90_00029,HCC827,SNG,True,True,24,-1,False,-1,23,0,False,21,False,0,0,-1,0,-1,0,False,-1
Lib90_00031,HCC827,SNG,True,True,25,-1,False,147,5,0,False,4,False,0,0,-1,0,-1,0,False,-1
Lib90_00032,HCC827,SNG,True,True,26,-1,False,147,92,0,False,87,False,0,0,-1,0,-1,0,False,-1
Lib90_00033,HCC827,SNG,True,True,27,-1,False,8,62,0,False,58,False,0,0,-1,0,-1,0,False,-1
Lib90_00034,HCC827,SNG,True,True,28,-1,False,63,160,0,False,153,False,0,0,-1,0,-1,0,False,-1
Lib90_00036,HCC827,SNG,True,True,29,-1,False,-1,62,0,False,58,False,0,0,-1,0,-1,0,False,-1
Lib90_00037,H838,SNG,True,True,30,-1,False,115,0,3,False,-1,True,0,0,-1,0,-1,0,False,-1
